type,index,true,pred,confidence,text
FP,8501,0,1,0.9951296535274251,".@USATODAY Fact Check: ""RNC claims Biden is ‘anti-law enforcement.’ He’s not."" https://t.co/fKin763MT0 

It's actually Trump whose attempted to cut COPS funding for years: https://t.co/jAArXB51la https://t.co/N4LkcIfWyr"
FP,11400,0,1,0.9921385534540593,Fact Check: Hillary Clinton's deleted emails https://t.co/M1x8jwOTBu https://t.co/A3GAzX1nvf
FP,15096,0,1,0.9905117693992584,Half of Boys in Youth Jails Black or Ethnic Minority https://t.co/6PWbe14BSn https://t.co/4ydqS4sBOs
FP,8396,0,1,0.9895630979438373,"WEAR A Mask: 6-Year-Old British Girl Chokes On COVID-19 Face Mask That Was Inside Her McDonald's Chicken Nuggets [Video]

(Image via NurPhoto/Getty)

https://t.co/CbgTkyVuPk https://t.co/wialhkytw6"
FP,3064,0,1,0.9884485829348909,A [small] flood with bigåÊconsequences https://t.co/CVPdVHxd1R http://t.co/FDMXP4FcMo
FP,12277,0,1,0.9859648225242026,Youth electrocuted in Khulna  | http://t.co/3EnyNdXpPm https://t.co/GQpi7jMKan via @sharethis
FP,4655,0,1,0.9789424254967641,Watch as a massive alligator casually strolls across a Florida golf course https://t.co/rL3zO1zMjc https://t.co/SOmiTMfRYR
FP,7194,0,1,0.9766593544051084,".@TedCruz: Perhaps Trump’s Tax Returns Show ‘Dealings w/ Mob’ More Extensive than Reported
https://t.co/KUkweeO8k7 https://t.co/INdbdiveC8"
FP,14552,0,1,0.9759493257108857,The FBI Is Investigating The Trump Supporters Who Were Seemingly Driving Out A Biden-Harris Campaign Bus https://t.co/oEcmDS4xqN https://t.co/E7vIB6BkmP
FP,11320,0,1,0.9719421494884956,"The US city of Boston officially declared racism a public health crisis | @BISouthAfrica 

https://t.co/KG51r9PIXU https://t.co/lQSnO2PRP5"
